Date and Time,Temp. (oF)
2010-07-17 01:00:00,24.444444444444443
2010-07-17 02:00:00,23.333333333333332
2010-07-17 03:00:00,23.333333333333332
2010-07-17 04:00:00,22.77777777777778
2010-07-17 05:00:00,22.22222222222222
2010-07-17 06:00:00,21.666666666666668
2010-07-17 07:00:00,22.22222222222222
2010-07-17 08:00:00,23.88888888888889
2010-07-17 09:00:00,26.666666666666668
2010-07-17 10:00:00,28.333333333333332
2010-07-17 11:00:00,30.0
2010-07-17 12:00:00,31.11111111111111
2010-07-17 13:00:00,31.666666666666668
2010-07-17 14:00:00,32.22222222222222
2010-07-17 15:00:00,32.22222222222222
2010-07-17 16:00:00,32.77777777777778
2010-07-17 17:00:00,31.666666666666668
2010-07-17 18:00:00,31.666666666666668
2010-07-17 19:00:00,32.22222222222222
2010-07-17 20:00:00,30.555555555555557
2010-07-17 21:00:00,27.22222222222222
2010-07-17 22:00:00,27.22222222222222
2010-07-17 23:00:00,26.11111111111111
